smiles,inchikey,cas,match,vp_mmHg,vp_source,vp_ref,bp_C,bp_source,mp_C,mp_source,logkow,logkow_source
CSCSSCSC,QLDCJQYUNZUCHD-UHFFFAOYSA-N,,,0.010092290058244836,estimated,,268.3691711425781,estimated,21.159454345703125,estimated,2.0465,estimated
Cl.Cl.N=C(N)c1ccc(-c2cc3ccc(C(=N)N)cc3[nH]2)cc1,FPNZBYLXNYPRLR-UHFFFAOYSA-N,,,,,,,,,,,
O=CCS(=O)(=O)O,JTJIXCMSHWPJJE-UHFFFAOYSA-N,,,0.0002300208839652752,estimated,,278.6697082519531,estimated,63.355560302734375,estimated,-1.1301,estimated
O=C([O-])CCC(=O)[O-],KDYFGRWQOYBRFD-UHFFFAOYSA-L,000110-15-6,stereo-blind,1.91e-07,experimental,"YAWS,CL:1994",235.0,experimental,188.0,experimental,-0.59,experimental
Cl.NCCc1c[nH]c2ccc(O)cc12,MDIGAZPGKJFIAH-UHFFFAOYSA-N,,,,,,,,,,,
Cl.O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,MVOWQBJZZKOQNU-UHFFFAOYSA-N,,,,,,,,,,,
O=C([O-])C=CC(=O)[O-],VZCYOOQTPOCHFL-UHFFFAOYSA-L,000110-17-8,stereo-blind,1.34e-05,experimental,ECHA:,290.0,experimental,132.5,experimental,0.46,experimental
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,GEFQWZLICWMTKF-CDUCUWFYSA-N,006539-57-7,stereo-blind,5.803500689382127e-07,estimated,,347.4587707519531,estimated,127.7694091796875,estimated,-1.43,experimental
CC(C)NC[C@H](O)COc1cccc2ccccc12.Cl,ZMRUPTIKESYGQW-UQKRIMTDSA-N,000318-98-9,stereo-blind,1.3400520983856765e-13,estimated,,555.9822998046875,estimated,163.0,experimental,0.7437,estimated
CC(C)C(=O)[O-],KQNPFQTWMSNSAP-UHFFFAOYSA-M,000079-31-2,stereo-blind,1.81,experimental,"DAUBERT,TE & DANNER,RP:1989",154.4,experimental,-46.0,experimental,0.94,experimental
CS(=O)(=O)O.OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,VNJHUUNVDMYCRH-UHFFFAOYSA-N,,,,,,,,,,,
COC(=O)c1ccccc1N=Cc1ccc(O)c(OC)c1,OZVYKIDWVOPIKR-UHFFFAOYSA-N,072927-84-5,exact,5.4006964717364905e-08,estimated,,406.9104309082031,estimated,155.0848388671875,estimated,2.3813,estimated
CCN.[H+],QUSNBJAOOMFDIB-UHFFFAOYSA-O,000075-04-7,stereo-blind,1050.0,experimental,"DAUBERT,TE & DANNER,RP:1995",16.6,experimental,-81.2,experimental,-0.13,experimental
CCN(CC)CC.[H+],ZMANZCXQSJIPKH-UHFFFAOYSA-O,000121-44-8,stereo-blind,57.1,experimental,"RIDDICK,JA ET AL.:1986",89.3,experimental,-114.7,experimental,1.45,experimental
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1.Cl,KTMLZVUAXJERAT-UHFFFAOYSA-N,,,,,,,,,,,
O=C([O-])C1CCCCC1,NZNMSOFKMUBTKW-UHFFFAOYSA-M,003198-23-0,exact,0.03867428605961887,estimated,,235.07254028320312,estimated,43.533477783203125,estimated,2.3564005,estimated
CC(C)CCCCCC=O,JRPPVSMCCSLJPL-UHFFFAOYSA-N,049824-43-3,exact,0.7864561814351583,estimated,,184.21212768554688,estimated,-30.53521728515625,estimated,3.1983001,estimated
CCc1cccc(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,WNIDXAKKFOKNEF-UHFFFAOYSA-N,,,8.622839748291468e-14,estimated,,585.24560546875,estimated,319.395751953125,estimated,-1.4429998,estimated
C/C=C/C(C)C,LGAQJENWWYGFSN-SNAWJCMRSA-N,000691-38-3,stereo-blind,244.0,experimental,"DAUBERT,TE & DANNER,RP:1989",56.3,experimental,-120.0,experimental,2.9994998,estimated
C=C(O)CCC,RTJBLRZRSVEQRH-UHFFFAOYSA-N,,,1.7236270526845816,estimated,,145.64511108398438,estimated,-55.28485107421875,estimated,1.7750001,estimated
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,MOQZYUUHIWPDQC-UHFFFAOYSA-M,,,,,,,,,,,
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,METKIMKYRPQLGS-LBPRGKRZSA-N,029122-68-7,stereo-blind,7.688659075261975e-10,estimated,,438.6316223144531,estimated,147.0,experimental,0.16,experimental
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,183321-74-6,exact,7.06e-11,estimated,EPI SUITE v4.10:,519.220947265625,estimated,221.5769805908203,estimated,2.79,estimated
CCCCCCCCCCCCCCCCCCC=O,SXIYYZWCMUFWBW-UHFFFAOYSA-N,,,3.307946953574315e-05,estimated,,352.2306213378906,estimated,82.36776733398438,estimated,8.1828,estimated
CC(=O)ON,GRKUXCWELVWVMZ-UHFFFAOYSA-N,,,48.599919693700556,estimated,,93.9073486328125,estimated,-47.04969787597656,estimated,-1.3538,estimated
CC1=CCC(=C(C)C)CCC(C)=CCC1,GXEGJTGWYVZSNR-UHFFFAOYSA-N,015423-57-1,exact,0.0103385275458032,estimated,,277.9313659667969,estimated,27.3861083984375,estimated,7.1753,estimated
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,METKIMKYRPQLGS-GFCCVEGCSA-N,029122-68-7,stereo-blind,7.688659075261975e-10,estimated,,438.6316223144531,estimated,147.0,experimental,0.16,experimental
O.O.OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,DPVHGFAJLZWDOC-PVXXTIHASA-N,,,,,,,,,,,
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,FBHSPRKOSMHSIF-GRMWVWQJSA-N,014484-47-0,stereo-blind,4.1739753138400516e-14,estimated,,536.7894287109375,estimated,256.0,experimental,1.3081014,estimated
NOC(=O)c1ccccc1,XXXHSQBVHSJQKS-UHFFFAOYSA-N,,,0.0689336837680701,estimated,,227.8831787109375,estimated,33.449554443359375,estimated,0.10129984,estimated
CON=CC(C)C,BWDHKWDASNPZLC-UHFFFAOYSA-N,,,49.81493964653329,estimated,,93.3262939453125,estimated,-90.76434326171875,estimated,0.82789993,estimated
Cl.Cl.c1ccc2c(c1)CCCc1cc(NCCN3CCOCC3)nnc1-2,LAROMNHHFPRNET-UHFFFAOYSA-N,,,,,,,,,,,
C[C@H](NC[C@H](O)CP(=O)(O)CC1CCCCC1)c1ccc(Cl)c(Cl)c1.Cl,ZQCFHOVIXCJPLE-LINSIKMZSA-N,,,,,,,,,,,
CCN(CC)c1ccc(N=Nc2ccc(S(=O)(=O)N(C)C)cc2)c(S(=O)(=O)NCC[n+]2ccccc2)c1.[Cl-],RZLODSHXMGASGM-UHFFFAOYSA-M,,,2.5835110800106414e-17,estimated,,720.2607421875,estimated,315.4866638183594,estimated,-0.48859954,estimated
Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,NZDBKBRIBJLNNT-UHFFFAOYSA-N,,,,,,,,,,,
C=C1C=CCCC1,XVKFDCVTYBMNRZ-UHFFFAOYSA-N,,,27.521567186203708,estimated,,110.90371704101562,estimated,-63.6776123046875,estimated,3.3715,estimated
COc1cc(OC)c(OC)c(OC)c1,OIHYPOOSWQXFMZ-UHFFFAOYSA-N,,,0.004853555605022722,estimated,,267.3991394042969,estimated,62.336212158203125,estimated,1.5848999,estimated
OCCCCCOCc1ccccc1,RZVDPWSEPVHOPU-UHFFFAOYSA-N,004541-15-5,exact,3.5421272300460987e-05,estimated,,307.8504333496094,estimated,63.70098876953125,estimated,2.2744,estimated
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BHQCQFFYRZLCQQ-OELDTZBJSA-N,000081-25-4,stereo-blind,9.662300117990537e-15,estimated,,544.570068359375,estimated,198.0,experimental,2.02,experimental
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,KXGVEGMKQFWNSR-LLQZFEROSA-N,000083-44-3,stereo-blind,8.686880241924505e-13,estimated,,508.2304382324219,estimated,177.0,experimental,3.5,experimental
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,000053-06-5,stereo-blind,4.513059642468944e-13,estimated,,500.5360412597656,estimated,222.0,experimental,1.47,experimental
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,WKRLQDKEXYKHJB-HFTRVMKXSA-N,000474-86-2,stereo-blind,1.1046474219221483e-08,estimated,,395.7569274902344,estimated,239.0,experimental,3.3462,estimated
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@]2(C)C(=O)CC[C@@H]12,RZRPTBIGEANTGU-IRIMSJTPSA-N,000382-45-6,stereo-blind,5.5326772074432004e-08,estimated,,419.1417541503906,estimated,222.0,experimental,1.4125004,estimated
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,ZOCUOMKMBMEYQV-GSLJADNHSA-N,,,3.4444266593913746e-13,estimated,,506.6061706542969,estimated,215.68435668945312,estimated,2.0447006,estimated
