smiles,inchikey,dtxsid,match,vp_mmHg,vp_source,bp_C,bp_source,logp,logp_source
CC(C)=CCC/C(C)=C\COC=O,FQMZVFJYMPNUCT-XFFZJAGNSA-N,DTXSID701014544,exact,0.0588843655355589,predicted,221.0,predicted,3.77,predicted
CC(C)=CCC/C(C)=C/COC=O,FQMZVFJYMPNUCT-YRNVUSSQSA-N,DTXSID0047614,exact,0.0588843655355589,predicted,221.0,predicted,3.77,predicted
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,FQTLCLSUCSAZDY-ATGUSINASA-N,DTXSID80883651,exact,0.006606934480075957,predicted,276.0,predicted,4.86,predicted
C=CC(C)(O)CC/C=C(/C)CCC=C(C)C,FQTLCLSUCSAZDY-KAMYIIQDSA-N,,,,,,,,
C=C[C@@](C)(O)CC/C=C(/C)CCC=C(C)C,FQTLCLSUCSAZDY-QKXCFHHRSA-N,DTXSID4047048,exact,0.006606934480075957,predicted,276.0,experimental,4.86,predicted
C=CC(C)(O)CC/C=C(\C)CCC=C(C)C,FQTLCLSUCSAZDY-SDNWHVSQSA-N,,,,,,,,
C=CC(C)(O)CCC=C(C)CCC=C(C)C,FQTLCLSUCSAZDY-UHFFFAOYSA-N,,,,,,,,
c1ccc(OCC2CO2)cc1,FQYUMYWMJTYZTK-UHFFFAOYSA-N,,,,,,,,
CCOC(C)Oc1ccc(C)cc1,FRAAYIYLBFNBJS-UHFFFAOYSA-N,,,,,,,,
O=C1C=CC(=O)c2ccccc21,FRASJONUBLZVQX-UHFFFAOYSA-N,DTXSID5040704,exact,0.00018197008586099826,predicted,267.0,predicted,1.71,experimental
CC(C)Nc1ccccc1,FRCFWPVMFJMNDP-UHFFFAOYSA-N,DTXSID7025479,exact,0.1318256738556407,predicted,203.0,experimental,2.73,predicted
CC(F)(Cl)Cl,FRCHKSNAZZFGCA-UHFFFAOYSA-N,DTXSID2020422,exact,602.5595860743575,experimental,32.0,experimental,1.84,predicted
Cc1nccnc1OC(C)C,FRCMVXLVVCXOHO-UHFFFAOYSA-N,DTXSID40240504,exact,0.24547089156850305,predicted,177.0,predicted,2.24,experimental
CCC(C)(O)CC,FRDAATYAJDYRNW-UHFFFAOYSA-N,DTXSID0021755,exact,5.495408738576246,predicted,123.0,predicted,1.44,predicted
CC(C)CC(=O)OC(=O)CC(C)C,FREZLSIGWNCSOQ-UHFFFAOYSA-N,DTXSID70870878,exact,0.251188643150958,predicted,215.0,experimental,2.41,predicted
CC(C)c1ccncc1,FRGXNJWEDDQLFH-UHFFFAOYSA-N,DTXSID7061013,exact,1.7378008287493754,predicted,178.0,experimental,2.26,predicted
N.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Fe+3],FRHBOQMZUOWXQL-UHFFFAOYSA-K,,,,,,,,
CCCCCCCCCCCCCC(=O)OCC(C)CC,FRHCPJSPAUFBEH-UHFFFAOYSA-N,,,,,,,,
CC(C)=CC1CC(C)=CCO1,FRISMOQHTLZZRP-UHFFFAOYSA-N,,,,,,,,
CCCCOC(=O)C(C)OC(C)=O,FRKISMRVEIRXFS-UHFFFAOYSA-N,DTXSID20279276,exact,0.10715193052376065,predicted,214.0,predicted,1.35,predicted
CCCCCC#CC(=O)OC,FRLZQXRXIKQFNS-UHFFFAOYSA-N,DTXSID9047093,exact,1.7782794100389228,predicted,218.0,predicted,2.8,predicted
C=C1CC[C@@H]2[C@H]([C@H]3[C@H]1CC[C@]3(C)O)C2(C)C,FRMCCTDTYSRUBE-BGPZULBFSA-N,,,,,,,,
C=C1CCC2C([C@H]3[C@@H]1CC[C@@]3(C)O)C2(C)C,FRMCCTDTYSRUBE-VOSWHAFNSA-N,,,,,,,,
