smiles,cramer,ames_alert,ames_sa,gradient
CC(C)COc1ccc(C(=O)CCc2ccccn2)c(O)c1,III,0,,none
O=C1OCCCCCCO1,III,0,,none
CCc1ccc(OC(C)=O)cc1,I,0,,none
CC(=O)OCC1CCC(C)(C)C23CC4CC2C13C4(C)C,II,0,,none
O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,III,1,SA19_Ames,III
O=CCCOCc1ccccc1,III,1,SA11_Ames,none
Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,III,0,,III
CCC(C)CCCCC=O,I,1,SA11_Ames,none
CC(=O)C(C)Sc1ccoc1C,II,0,,none
CCCCCCOC(C)=O,I,0,,none
CC(N)CN,I,0,,III
C=C(C)C(=O)OCc1ccccc1,I,0,,none
CCCCCOCCCCC,III,0,,none
Cc1c(O)ccc(C=O)c1O,I,1,SA11_Ames,none
CC(=O)C(C)CC1CCC(C(C)C)CC1,I,0,,none
CCC(CC)CC,I,0,,none
O=P([O-])([O-])OCC(O)CO.O=P([O-])([O-])OCC(O)CO.O=P([O-])([O-])OCC(O)CO.[Fe+3].[Fe+3],III,0,,none
C/C=C/c1ccc(OCC)c(OC)c1,I,0,,none
CC=Cc1ccc(OCC)c(OC)c1,I,0,,none
C=C(C)C1CCC(C=O)CC1,I,1,SA11_Ames,none
CC(=O)OC/C(=C\CC(C)C)C(C)C,I,0,,none
CC(=O)OCC(=CCC(C)C)C(C)C,I,0,,none
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,III,0,,none
CC(O)CO.CCC(=O)O.CCC(=O)O,I,0,,none
C=CC(C)(CCC=C(C)C)OC(=O)CCCCCC,I,0,,none
C=CCOC(=S)C(C)C,III,0,,none
C=CC(O)C/C=C/CC,II,0,,none
C=CC(O)CC=CCC,II,0,,none
C=CC(O)C/C=C\CC,II,0,,none
CC(C)(C)c1cccc(CCC=O)c1,I,1,SA11_Ames,none
Cc1cc(=O)[nH]c2ccccc12,II,0,,none
CCCCCCOCC(O)OC(C)COCC(C)O,III,0,,none
CC/C=C/CCOC(=O)CCCCCCCCC,I,0,,none
CC/C=C\CCOC(=O)CCCCCCCCC,I,0,,none
CCSC(C)=O,III,0,,none
CCCCCCCCC(C(C)=O)C(=O)OCC,I,0,,none
CCOc1cccc2ccccc12,III,0,,none
CC/C=C\CCOC(=O)C1CC1,I,0,,none
CCC=CCCOC(=O)C1CC1,I,0,,none
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,III,0,,III
c1ccc(CCCc2ccncc2)cc1,II,0,,none
CN=C(NC#N)NCCSCc1nc[nH]c1C,III,0,,III
CCC(O)CC,I,0,,none
CC1(C)CCCC2=C1CC(C=O)CC2,I,1,SA11_Ames,none
O=C1CC2CCCCC2O1,I,0,,none
CCc1occc(=O)c1OC(=O)C(C)C,II,0,,none
CCCCCCC=CCC(=O)OCC,I,0,,none
CCOC(OCC)C1CCCCC1,I,0,,none
Cc1sccc1S,III,0,,none
CC(C)CCOCCC(C)C,III,0,,none
CCC=C(C)OC=O,I,0,,none
CCCCCCCCCCCCCCCC(=O)Cl,III,1,SA1_Ames,III
CCC1CC(C)=C(O)C1=O,II,1,SA10_Ames,none
C/C=C/C(=O)C(C)CC,II,1,SA10_Ames,none
C/C=C/C(=O)[C@@H](C)CC,II,1,SA10_Ames,none
C/C=C/C(=O)[C@H](C)CC,II,1,SA10_Ames,none
CC=CC(=O)C(C)CC,II,1,SA10_Ames,none
CCCc1nc(C)cnc1C,II,0,,none
CC/C=C\CC/C=C/C(=O)NCC,I,1,SA10_Ames,none
CCCCCCCCC(=O)OCCCCCCC,I,0,,none
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,III,1,SA18_Ames,none
CC(C)CC(=O)CO,I,0,,none
CCCCCC(=O)OC/C=C(\C)CCC=C(C)C,I,0,,none
CCCCCC(=O)OC/C=C(/C)CCC=C(C)C,I,0,,none
CCCCC(O)C1=CCCCC1C(=O)O,I,0,,none
CC(=O)OC1(C(C)C)CCCCC1,I,0,,none
COCC(C)O,I,0,,none
OCCC(O)CO,I,0,,none
CC=Cc1ccc(OCCCCCC)c(OC)c1,II,0,,none
CCCCCCCC(=O)OCCc1ccccc1,I,0,,none
O=C(CCO)OCCc1ccccc1,I,0,,none
CCCC/C=C/CO,I,0,,none
COc1cccc(O)c1,I,0,,none
COC=CCc1ccc(CC(C)C)cc1,III,1,SA24_Ames;SA38_Ames,none
CC1=CC(=O)C(C)O1,II,1,SA10_Ames,none
CC(C)=CCO,I,0,,none
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,III,1,SA28_Ames,III
CNC[C@H](O)c1ccc(O)c(O)c1.Cl,III,0,,III
[Be],III,0,,none
CCCCCCCCCCN(C)CCCCCCCCCC,I,0,,II
N#CBr,III,0,,III
CCOC(COCC=C(C)CCC=C(C)C)OCC,III,0,,none
O=c1ccc2ccc(O)c(O)c2o1,III,1,SA30_Ames,none
Nc1ccc(Nc2ccccc2)cc1,III,1,SA28_Ames,III
NCCCCNCCCN,III,0,,III
CNC=O,III,0,,none
[Sn],III,0,,none
CCCCCCCCCC(=O)OCc1ccco1,II,0,,none
O=C([O-])O.[NH4+],III,0,,none
